nama,klaster,nearest_node,dist_to_node_m,lon,lat
PT PLN UID Jawa Barat,C_KantorBUMN,25435365,61.14456594698436,107.6084149389598,-6.920844283849016
PT Asuransi Jiwasraya Kanwil Bandung,C_KantorBUMN,3256092261,57.208011372180906,107.60685726779576,-6.920757233162184
PT Bank Rakyat Indonesia (BRI),C_KantorBUMN,5852700917,36.59871167180885,107.60737166377868,-6.920887842754974
Bank Mandiri KC Asia Afrika,C_KantorBUMN,1849525939,65.94280457009103,107.61342899663163,-6.921455185329506
PT Biofarma,C_KantorBUMN,5353724829,125.92072509361392,107.60044371197489,-6.899251825915915
RSUP Dr. Hasan Sadikin (RSHS),C_KantorBUMN,7983673000,155.4117924757424,107.59838886964661,-6.897736848378356
Stasiun Bandung (KAI),C_KantorBUMN,25434241,180.14706884318738,107.60200855430335,-6.914553632668489
Perum DAMRI,C_KantorBUMN,1014722882,20.413046898153958,107.60285399478016,-6.912466076137374
PT Jasa Raharja,C_KantorBUMN,5406559361,108.45312108162777,107.65909297431767,-6.9386746701922615
Perum Bulog,C_KantorBUMN,1107827150,120.527345922895,107.66266179663168,-6.938303085693412
Perum Perhutani,C_KantorBUMN,7284403247,88.24791092165262,107.70088569663167,-6.93706137919921
PD Kebersihan,C_KantorBUMN,11364589669,60.4400754213791,107.63346868313907,-6.8982770720919175
Perum Pembangunan Perumahan Nasional (Perumnas),C_KantorBUMN,1382551353,18.055892791407985,107.63187797994912,-6.8977325948085735
PDAM Tirtawening Kota Bandung,C_KantorBUMN,2011938272,101.36757898154829,107.61043770827254,-6.895845122329721
PT ASABRI,C_KantorBUMN,25450505,10.484943010946331,107.62187611012389,-6.905138523853762
PT Adhi Karya,C_KantorBUMN,1855697095,56.64201822657407,107.62477156779553,-6.904185619321738
PT Angkasa Pura II,C_KantorBUMN,11382649832,124.60655294229667,107.57924116569545,-6.903485214858981
PT Asuransi Jasa Indonesia (Jasindo),C_KantorBUMN,364365279,34.200906326059254,107.60878314081096,-6.909341323816981
PT Bank Negara Indonesia (BNI),C_KantorBUMN,2325452068,61.46138160765613,107.60749346964687,-6.913662694732194
PT Bank Tabungan Negara (BTN),C_KantorBUMN,1849525810,41.84010699729259,107.61360885383753,-6.913641054291731
PT Barata Indonesia,C_KantorBUMN,5474691885,29.669457989816646,107.6433953711641,-6.895405582749095
PT Dirgantara Indonesia (IPTN),C_KantorBUMN,5346050187,451.9174055156618,107.58249805615439,-6.898085657999988
PT INTI,C_KantorBUMN,10174374459,27.64227765948498,107.60725148313925,-6.937859738395592
PT Jasa Marga,C_KantorBUMN,6425732201,42.59071949520002,107.5735702369154,-6.883841983714092
PT Kereta Api Indonesia,C_KantorBUMN,12361073931,89.32615860049297,107.6061990236163,-6.9137043242438985
PT Kimia Farma,C_KantorBUMN,13751874785,74.71194428718965,107.6040849101239,-6.908203521398585
PT Len Industri,C_KantorBUMN,5348770388,35.80763461508015,107.6194399677959,-6.949371442838618
PT PPRO BIJB Aerocity Development,C_KantorBUMN,13752166046,32.20175582377462,107.63954159663173,-6.946160091665761
PT Permodalan Nasional Madani,C_KantorBUMN,7622389158,76.21546504916824,107.64681145430328,-6.906419218515503
