addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat
<NA>,302280706,50.30553821245502,,,,Manjahlega,Rancasari,22353,107.6660914,-6.9406472000000035
<NA>,9307974158,21.1668135288705,,,,Cisaranten Wetan,Cinambo,6670,107.6882496,-6.9267996999999975
<NA>,5358149097,2.849088551221661,,,,Mekar Mulya,Panyileukan,8059,107.7014762,-6.9243032999999965
<NA>,12573341903,15.266394370538396,,,,Kujangsari,Bandung Kidul,23091,107.6383848,-6.965355599999993
<NA>,11369732750,58.98023391368489,,,,Sukahaji,Babakan Ciparay,32479,107.581805,-6.9224301999999955
<NA>,9340200136,6.476403624640206,,,,Sekejati,Buahbatu,26388,107.6531155,-6.951553499999993
<NA>,11052060891,16.95363719336463,,,,Pasanggrahan,Ujungberung,21969,107.716641,-6.910842199999998
<NA>,1381644983,17.883741448084653,,,,Sekeloa,Coblong,27466,107.61844063362668,-6.883624041819182
<NA>,5149616893,36.60168031455195,,,,Sekeloa,Coblong,27466,107.61694992147133,-6.88613303254299
<NA>,9814074564,84.25375981778068,,,,Cihapit,Bandung Wetan,4223,107.62473296590935,-6.909832169619745
<NA>,302280706,44.63817872568308,,,,Manjahlega,Rancasari,22353,107.66601948713097,-6.940598893313972
<NA>,1709854430,12.039980404088157,,,,Dago,Coblong,36061,107.61475977094717,-6.879196674960111
<NA>,5463988167,65.88342512915571,,,,Cipaganti,Coblong,12118,107.60571914117772,-6.89189295733324
<NA>,3373712065,33.81347395767557,,,,Dago,Coblong,36061,107.61768836670848,-6.877109705247971
<NA>,1662376887,18.598541533191554,,,,Dago,Coblong,36061,107.61901469968791,-6.874134771646624
<NA>,1381585534,25.75367197126823,,,,Sekeloa,Coblong,27466,107.6161205500005,-6.881250150001881
<NA>,1381585557,58.68668033085447,,,,Dago,Coblong,36061,107.61515773358123,-6.882362248419709
<NA>,1960168485,34.790688250388214,,,,Dago,Coblong,36061,107.61598419024203,-6.880122588181369
<NA>,2325448480,39.22452833147973,,,,Dago,Coblong,36061,107.61609445454637,-6.879572281398474
<NA>,12079490288,13.143408852721391,,,,Dago,Coblong,36061,107.61588060348264,-6.880987817458385
<NA>,1662377003,30.73267322837047,,,,Dago,Coblong,36061,107.61714580503565,-6.8773925046988955
<NA>,1662376887,37.82326003782949,,,,Dago,Coblong,36061,107.61887403790631,-6.874264265581237
<NA>,3806722513,36.88694052457035,,,,Dago,Coblong,36061,107.61668583095968,-6.880283591606983
<NA>,1662376617,30.68713187040326,,,,Dago,Coblong,36061,107.61792494999953,-6.876071500009407
<NA>,1662376617,32.622968541173876,,,,Dago,Coblong,36061,107.61785477532604,-6.876377163246007
<NA>,5463827219,48.311413057806874,,,,Sekeloa,Coblong,27466,107.61494125369228,-6.8831283542643
<NA>,1662377003,49.99986227044266,,,,Dago,Coblong,36061,107.6172910066226,-6.8768076724237455
<NA>,11142011576,42.80680486523277,,,,Dago,Coblong,36061,107.61810066679786,-6.875849702012348
<NA>,1662376617,38.98227257369167,,,,Dago,Coblong,36061,107.6179784896351,-6.875942446926595
<NA>,1662376803,23.79063922441604,,,,Dago,Coblong,36061,107.61814347146104,-6.876511487106403
<NA>,1960168421,26.57053320842982,,,,Dago,Coblong,36061,107.61812900000365,-6.876669099999505
<NA>,1662376865,25.84126216859183,,,,Dago,Coblong,36061,107.62082939509179,-6.868611775824727
<NA>,1662377004,40.39183883398832,,,,Dago,Coblong,36061,107.62091146287729,-6.867749078320267
<NA>,1662376902,42.635795982959294,,,,Dago,Coblong,36061,107.61999840382917,-6.873089109088977
<NA>,1662376887,30.481744406597286,,,,Dago,Coblong,36061,107.61915880000033,-6.8738405000009895
<NA>,9857241871,53.24747775526365,,,,Kebon Pisang,Sumur Bandung,12580,107.62060755781866,-6.920468280668893
<NA>,1658919998,45.544160840843304,,,,Taman Sari,Bandung Wetan,22984,107.60750738818004,-6.899042008644988
<NA>,5455786442,8.284227847232296,,,,Karang Pamulang,Mandalajati,19919,107.67609461301119,-6.8956539735236735
<NA>,5455786438,19.717223906018127,,,,Karang Pamulang,Mandalajati,19919,107.67588823818213,-6.895200349568349
<NA>,5455786438,28.53205833104307,,,,Karang Pamulang,Mandalajati,19919,107.67577056542001,-6.895352978032633
<NA>,3443083570,21.19242868469967,,,,Sekeloa,Coblong,27466,107.6182600940514,-6.886652917112985
<NA>,3441810674,51.084241733818224,,,,Sekeloa,Coblong,27466,107.6181283682398,-6.886320219917648
<NA>,3443083570,35.57834628608965,,,,Sekeloa,Coblong,27466,107.61813927641087,-6.886741893861173
<NA>,3443083570,43.53454784630362,,,,Sekeloa,Coblong,27466,107.61806959762477,-6.886759791099812
<NA>,3441810674,40.89694014569312,,,,Sekeloa,Coblong,27466,107.61830297638883,-6.886185984458205
<NA>,3441810670,26.538501859830365,,,,Sekeloa,Coblong,27466,107.61838557309241,-6.885941048525511
<NA>,3441810670,34.011405597408476,,,,Sekeloa,Coblong,27466,107.61848635821815,-6.88601232166669
<NA>,1385463119,14.963542493057233,,,,Sekeloa,Coblong,27466,107.61889138158524,-6.886276661050222
<NA>,11104669202,129.67951975199395,,,,Lebak Gede,Coblong,11156,107.61402535955843,-6.893083675418399
<NA>,11143200363,83.68767671737182,,,,Sukawarna,Sukajadi,14842,107.58035546708142,-6.8818266684699125
<NA>,11014872291,71.7064018410129,,,,Sukawarna,Sukajadi,14842,107.5799216499968,-6.881496000000142
<NA>,11014872291,82.59066814486745,,,,Sukawarna,Sukajadi,14842,107.58006259927524,-6.8814318324346875
<NA>,11014872291,75.13142867620027,,,,Sukawarna,Sukajadi,14842,107.57977433425134,-6.881703930791477
<NA>,11143200363,100.7940112219638,,,,Sukawarna,Sukajadi,14842,107.58008203828301,-6.881941594036582
<NA>,11143200363,75.496111024506,,,,Sukawarna,Sukajadi,14842,107.58048372947798,-6.881813408731493
<NA>,11143200363,75.06028661604698,,,,Sukawarna,Sukajadi,14842,107.58028531311427,-6.882055091778666
<NA>,11143200363,69.27475881487933,,,,Sukawarna,Sukajadi,14842,107.58036430657583,-6.882022221821092
<NA>,11143200363,63.25964908244172,,,,Sukawarna,Sukajadi,14842,107.58044157812925,-6.882007394730171
<NA>,11143200363,57.056649592989714,,,,Sukawarna,Sukajadi,14842,107.58053256448336,-6.881990128986321
<NA>,11347393969,85.51473310669033,,,,Sukawarna,Sukajadi,14842,107.58025251093339,-6.881395575101317
<NA>,11347393969,62.4555054175012,,,,Sukawarna,Sukajadi,14842,107.58043467044318,-6.8812841397321085
<NA>,11143200364,85.24943433420191,,,,Sukawarna,Sukajadi,14842,107.58035379999711,-6.881516800000626
<NA>,11143200364,95.55024799784933,,,,Sukawarna,Sukajadi,14842,107.5802640017826,-6.88155416870837
<NA>,11143200363,71.18468432524077,,,,Sukawarna,Sukajadi,14842,107.58069104999473,-6.881749400000286
<NA>,5458423164,20.07020029041983,,,,Sukagalih,Sukajadi,19076,107.58256915970738,-6.882649327697595
<NA>,1659928196,18.774967534121725,,,,Sukagalih,Sukajadi,19076,107.58237308220143,-6.882631441518207
<NA>,5458423162,35.49207916803769,,,,Sukagalih,Sukajadi,19076,107.5829460494241,-6.882636800469466
<NA>,5458423164,21.834795536955234,,,,Sukagalih,Sukajadi,19076,107.58278224393186,-6.882670403828541
<NA>,5458423372,57.43381640009654,,,,Sarijadi,Sukasari,27619,107.58089979939724,-6.879238432239737
<NA>,5458423372,43.35431218543572,,,,Sarijadi,Sukasari,27619,107.58085682787134,-6.879504776439191
<NA>,5458423372,58.825773039818294,,,,Sarijadi,Sukasari,27619,107.58076529551599,-6.879373846519246
<NA>,5458423372,66.0954600501476,,,,Sarijadi,Sukasari,27619,107.5806487330203,-6.879479225816835
