nama,operator,sumber,lon,lat
SPLU,,OSM,107.6088493,-6.920398
SPKLU,Perusahaan Listrik Negara,OSM,107.5972977,-6.8790549
SPKLU PLN UP3 Bandung,Perusahaan Listrik Negara,OSM,107.6117933,-6.948835
SPKLU,Perusahaan Listrik Negara,OSM,107.6412038,-6.8992806
SPKLU,Perusahaan Listrik Negara,OSM,107.6949227,-6.9132524
,,OSM,107.6278989,-6.9382721
Voltron,Voltron,OSM,107.6935217,-6.9554353
Voltron,,OSM,107.6993112,-6.9541414
SPKLU Hyundai Leuwipanjang (Khusus Kendaraan Hyundai),Hyundai,OSM,107.5987915,-6.9473868
,Perusahaan Listrik Negara,OSM,107.571417,-6.9338536
,Perusahaan Listrik Negara,OSM,107.6405768,-6.9540155
,Voltron,OSM,107.5944815,-6.9151951
,Perusahaan Listrik Negara,OSM,107.5787876,-6.9070715
,,OSM,107.6095898,-6.8908152
,,OSM,107.6403961,-6.9461869
,Pertamina,OSM,107.6127579,-6.8902045
,Voltron,OSM,107.6118761,-6.9022231
,Vinfast,OSM,107.6223621,-6.9367809
Hotel Tera,Daya Green,OpenChargeMap,107.6125627465874,-6.915849022803471
Hotel Crowne Plaza Bandung,Daya Green,OpenChargeMap,107.61190275589843,-6.917358276474218
De Braga By Artotel,Starvo (Indonesia),OpenChargeMap,107.61015399999883,-6.920381999995868
PLN ULP Braga Heritage,PLN (Indonesia),OpenChargeMap,107.6098575,-6.9201702
Hotel Newton,PLN (Indonesia),OpenChargeMap,107.62989194972761,-6.914922349725245
Balai Kota Bandung,PLN (Indonesia),OpenChargeMap,107.609513,-6.911711
Hyundai Ahmad Yani,PLN (Indonesia),OpenChargeMap,107.63094805663593,-6.915214110669893
PLN Icon Plus Bandung,PLN (Indonesia),OpenChargeMap,107.63123523695094,-6.908152971306123
Hotel Mercure,SSK,OpenChargeMap,107.62909198623811,-6.905047856676831
Hyundai Cihampelas,PLN (Indonesia),OpenChargeMap,107.6046494,-6.9066505
Moxy Hotel,DAYA GREEN,OpenChargeMap,107.61219742632784,-6.900315937624697
SPKLU One Stop Charging Surapati,PLN (Indonesia),OpenChargeMap,107.62100811474596,-6.899050654706116
Trans Studio Mall Bandung,PLN (Indonesia),OpenChargeMap,107.63591380656726,-6.92649533803511
PLN Purhalis UP2W III,PLN (Indonesia),OpenChargeMap,107.640519,-6.916572000000826
BTN Buah Batu,PLN (Indonesia),OpenChargeMap,107.62554013299996,-6.940056349538651
Cihampelas Walk,PARKING PLUS,OpenChargeMap,107.605209,-6.894763
RS Advent Bandung,PLN (Indonesia),OpenChargeMap,107.60345126673155,-6.891958914607201
Malaga Resto,PLN (Indonesia),OpenChargeMap,107.61252285136231,-6.885534390420375
BYD Arista Suci,PLN (Indonesia),OpenChargeMap,107.64805362810944,-6.901591206067692
Wheels Coffee,SSK,OpenChargeMap,107.61610497603715,-6.881643539619759
Paris Van Java,PARKING PLUS,OpenChargeMap,107.59644700000877,-6.888584000004002
Farizon Arista Bandung,PLN (Indonesia),OpenChargeMap,107.59615934237536,-6.947220044867876
Gallery Ciumbuleuit Apartment,CHARGE+,OpenChargeMap,107.604613,-6.881231
Zen Family Spa & Reflexology,Daya Green,OpenChargeMap,107.596653,-6.884404
Geowisata INN,PLN (Indonesia),OpenChargeMap,107.578369,-6.9175
PLN ULP Bandung Barat,PLN (Indonesia),OpenChargeMap,107.5789747,-6.9086507
Hemangini Hotel,GoCaz,OpenChargeMap,107.59919204592302,-6.880776600957361
Hyundai Pasteur,PLN (Indonesia),OpenChargeMap,107.5819782,-6.8927049
McDonald's Pasir Koja,Voltron (Indonesia),OpenChargeMap,107.57553602138432,-6.930290172506247
SPBU 34.401.35 Surya Sumantri,MY PERTAMINA,OpenChargeMap,107.5816409319475,-6.889111477533461
Swiss Bel Resort Dago,ASTRA OTOPOWER,OpenChargeMap,107.625312,-6.86683
Lasumi Car Wash & Coffee Shop,PLN (Indonesia),OpenChargeMap,107.674,-6.9048
Apartemen Gateway Pasteur,PLN (Indonesia),OpenChargeMap,107.56658066209684,-6.889777143698225
BYD Arista Soekarno Hatta,PLN (Indonesia),OpenChargeMap,107.67591783391508,-6.938639799669233
Rest Area KM 147 A Tol Purbaleunyi,PLN (Indonesia),OpenChargeMap,107.681211,-6.967814
Summarecon Mall Bandung,Voltron (Indonesia),OpenChargeMap,107.69805142867654,-6.954371373405266
