nama,klaster,nearest_node,dist_to_node_m,lon,lat,jumlah_titik_dilayani
Pertamina,A_SPBU,2493836067,33.149404233272975,107.6343231,-6.8997316,12
Pertamina,A_SPBU,5460962109,39.64680928088361,107.6814323,-6.9669124,182
Pertamina,A_SPBU,3807746818,28.22197593150114,107.6208132,-6.8689864,18
Pertamina,A_SPBU,5458737558,37.98496530693472,107.5816606,-6.8890673,92
Pertamina,A_SPBU,4620173045,51.43543053988797,107.6734695,-6.9045444,49
Pertamina,A_SPBU,5394983543,49.33365614447218,107.6589018,-6.9136483,213
Pertamina,A_SPBU,3847863679,47.2764816774581,107.5629202588238,-6.891755092832251,200
Pertamina,A_SPBU,5465992888,34.39296217773025,107.61658855993466,-6.89080612148574,124
Pertamina,A_SPBU,2325453481,63.38514900012798,107.6625098,-6.9396348,445
Pertamina,A_SPBU,11107827260,38.82726966824367,107.61194672268672,-6.919876054668785,17
Pertamina,A_SPBU,2858054060,93.41565535581812,107.71052254309387,-6.926051537620649,308
Pertamina,A_SPBU,5353648470,28.904748788013126,107.677419,-6.94029505,125
Pertamina,A_SPBU,3380407826,61.61336665164176,107.69659919279758,-6.923894916749965,194
Pertamina,A_SPBU,5406429315,126.62190873061094,107.65027095639958,-6.943129161696764,145
Pertamina,A_SPBU,1658426557,29.55736275935321,107.58136348645992,-6.882700275139375,134
Setrasari Mall,B_Mall,29356954,116.59991076615272,107.5829931,-6.8807039,322
Summarecon Mall Bandung,B_Mall,7216077665,105.46062447252253,107.69799356019809,-6.955164985985325,1773
Mall Festival Citylink,B_Mall,9596361930,113.3547356277718,107.58640326839443,-6.929639934451701,91
Living Plaza,B_Mall,11138593909,49.89687256819752,107.59783572862808,-6.906023654631979,16
Metro Indah Mall,B_Mall,3862534143,115.41808987671664,107.65873299136888,-6.942665012819828,17
