nama,alamat,confidence,catatan
PT Dirgantara Indonesia (IPTN),"Jl. Pajajaran No. 154, Husen Sastranegara, Cicendo, Kota Bandung, Jawa Barat 40174",tinggi,
PT Garuda Indonesia,"Jl. Asia Afrika No. 81, Paledang, Braga, Sumur Bandung, Kota Bandung, Jawa Barat 40112",tinggi,
PT Len Industri,"Jl. Soekarno Hatta No. 442, Pasirluyu, Regol, Kota Bandung, Jawa Barat 40254",tinggi,
PT Kereta Api Indonesia,"Jl. Perintis Kemerdekaan No. 1, Babakan Ciamis, Sumur Bandung, Kota Bandung, Jawa Barat 40111",tinggi,
PT Telkom Bandung,"Jl. Bengawan No. 81, Cihapit, Bandung Wetan, Kota Bandung, Jawa Barat 40114",tinggi,
PT INTI,"Jl. Moch. Toha No. 77, Cigereleng, Regol, Kota Bandung, Jawa Barat 40253",tinggi,
PT Perusahaan Gas Negara Rayon Bandung,"Jl. Serang No. 7, Kebonwaru, Batununggal, Kota Bandung, Jawa Barat 40272",tinggi,
PT Sucofindo,"Jl. Soekarno Hatta No. 217, Kopo, Bojongloa Kaler, Kota Bandung, Jawa Barat 40233",tinggi,
PT PLN UID Jawa Barat,"Jl. Asia Afrika No. 63, Braga, Sumur Bandung, Kota Bandung, Jawa Barat 40111",tinggi,
PT Biofarma,"Jl. Pasteur No. 28, Pasteur, Sukajadi, Kota Bandung, Jawa Barat 40161",tinggi,
PT Kimia Farma,"Jl. Cicendo No. 43, Pasir Kaliki, Cicendo, Kota Bandung, Jawa Barat 40171",tinggi,
PT Pertamina Bandung,"Jl. Soekarno Hatta, Babakan Penghulu, Cinambo, Kota Bandung, Jawa Barat 40294",tinggi,alamat versi benar; sumber lain mencantumkan alamat salah di Kec. Ibun (luar kota)
PT Pindad,"Jl. Terusan Gatot Subroto No. 517, Sukapura, Kiaracondong, Kota Bandung, Jawa Barat 40285",tinggi,
PT Indah Karya,"Jl. Golf Raya, Ujungberung, Kota Bandung, Jawa Barat 40294",tinggi,
PT Adhi Karya,"Jl. Cilaki No. 57, Cihapit, Bandung Wetan, Kota Bandung, Jawa Barat 40114",tinggi,
PT Waskita Karya,"Jl. Asia Afrika No. 55, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat 40112",tinggi,
PT PPRO BIJB Aerocity Development,"Jl. Soekarno Hatta No. 522, Batununggal, Bandung Kidul, Kota Bandung, Jawa Barat 40266",tinggi,
PT Asuransi Jiwasraya Kanwil Bandung,"Jl. Asia Afrika No. 53, Braga, Sumur Bandung, Kota Bandung, Jawa Barat 40111",tinggi,
PT Bhanda Ghara Reksa,"Jl. Soekarno Hatta No. 503B, Cijagra, Lengkong, Kota Bandung, Jawa Barat 40265",tinggi,
RSUP Dr. Hasan Sadikin (RSHS),"Jl. Pasteur No. 38, Kota Bandung",rendah,rumah sakit pemerintah (vertikal Kemenkes)
Bank Mandiri KC Asia Afrika,"Jl. Asia Afrika No. 107, Kota Bandung",rendah,
PT Bank Negara Indonesia (BNI),"Jl. Perintis Kemerdekaan No. 3, Kota Bandung",rendah,
PT Bank Rakyat Indonesia (BRI),"Jl. Asia Afrika No. 57-59, Braga, Sumur Bandung, Kota Bandung, Jawa Barat 40111",tinggi,
PT Bank Tabungan Negara (BTN),"Jl. Jawa No. 7, Kota Bandung",rendah,
Stasiun Bandung (KAI),"Jl. Kebon Kawung, Kota Bandung",rendah,
PT ASABRI,"Jl. Taman Citarum No. 6, Kota Bandung",rendah,
PT Asuransi Jasa Indonesia (Jasindo),"Jl. Wastukancana No. 10, Kota Bandung",rendah,
PT Jasa Raharja,"Jl. Soekarno Hatta No. 689A, Kota Bandung",rendah,
PT Jamsostek/BPJS Ketenagakerjaan,"Jl. PHH Mustofa No. 39, Neglasari, Cibeunying Kaler, Kota Bandung, Jawa Barat 40124",tinggi,
PD Kebersihan,"Jl. Surapati No. 126, Kota Bandung",rendah,
PT Taspen,"Jl. PHH Mustopa No. 78, Cikutra, Cibeunying Kidul, Kota Bandung, Jawa Barat 40124",tinggi,
Perum Pegadaian,"Jl. Pungkur No. 125, Kota Bandung",rendah,
PT Permodalan Nasional Madani,"Jl. Ahmad Yani No. 258, Kacapiring, Batununggal, Kota Bandung",rendah,
Perum Pembangunan Perumahan Nasional (Perumnas),"Jl. Surapati No. 120, Kota Bandung",rendah,
PT Jasa Marga,"Jl. Dr. Djundjunan No. 257, Kota Bandung",rendah,
PT Angkasa Pura II,"Jl. Pajajaran No. 156, Kota Bandung",rendah,bandara Husein Sastranegara
Perum DAMRI,"Jl. Kebon Kawung, Kota Bandung",rendah,
Perum Bulog,"Jl. Soekarno Hatta No. 711A, Kota Bandung",rendah,
PT Pos Indonesia,"Jl. Asia Afrika No. 49, Kota Bandung",rendah,
PT Sarinah,"Jl. Braga No. 10, Kota Bandung",rendah,
PT Pertani,"Jl. Jakarta No. 33, Kota Bandung",rendah,
Perum Perhutani,"Jl. Soekarno Hatta No. 628, Kota Bandung",rendah,
PT Barata Indonesia,"Jl. Industri No. 15, Kota Bandung",rendah,
PDAM Tirtawening Kota Bandung,"Jl. Badak Singa No. 10, Kota Bandung",rendah,
