p,demand_id,nama_kelurahan,wilayah_samsat,bobot_ev,candidate_id,nama_kandidat,klaster_kandidat,jarak_jaringan_m,jarak_jaringan_km
20,0,MEKAR MULYA,Soekarno Hatta,20.6839711834474,4,PT Pertamina Bandung,C_Kantor,1690.090692269927,1.690090692269927
20,1,CIPADUNG WETAN,Soekarno Hatta,9.36797305119531,184,Kelurahan Pasanggrahan,C_Kantor,2042.699914603767,2.0426999146037668
20,2,CIPADUNG KIDUL,Soekarno Hatta,41.468038517304834,4,PT Pertamina Bandung,C_Kantor,3148.760944142013,3.1487609441420132
20,3,PASIR ENDAH,Soekarno Hatta,46.20778718211239,241,Gedung Sekretariat,C_Kantor,927.6876808234629,0.9276876808234629
20,4,PASIR WANGI,Soekarno Hatta,48.29388298844651,184,Kelurahan Pasanggrahan,C_Kantor,2748.2632248416994,2.7482632248416996
20,5,PASIRJATI,Soekarno Hatta,48.50045237758229,184,Kelurahan Pasanggrahan,C_Kantor,2262.453079588375,2.2624530795883753
20,6,PALASARI,Soekarno Hatta,59.88721299531342,184,Kelurahan Pasanggrahan,C_Kantor,2672.750080477218,2.672750080477218
20,7,CISURUPAN,Soekarno Hatta,39.46537473185595,184,Kelurahan Pasanggrahan,C_Kantor,2831.503761877669,2.831503761877669
20,8,CIPADUNG KULON,Soekarno Hatta,37.70801645703055,184,Kelurahan Pasanggrahan,C_Kantor,998.1227513789509,0.9981227513789509
20,9,PASIR BIRU,Soekarno Hatta,44.22051592480949,184,Kelurahan Pasanggrahan,C_Kantor,2914.5413566447423,2.9145413566447425
20,10,CIPADUNG,Soekarno Hatta,61.6024330069424,184,Kelurahan Pasanggrahan,C_Kantor,2527.389977716132,2.527389977716132
20,11,PASANGGRAHAN,Soekarno Hatta,56.02620876449181,184,Kelurahan Pasanggrahan,C_Kantor,1761.8048427627623,1.7618048427627624
20,12,BABAKAN,Pajajaran,89.33428811220983,2,Pos Bandung Sumbersari Indah,C_Kantor,506.7858395871573,0.5067858395871573
20,13,BABAKAN ASIH,Pajajaran,45.68154111280778,251,Mall Festival Citylink,B_Mall,1782.380818671704,1.782380818671704
20,14,BABAKAN CIPARAY,Pajajaran,97.2083390408333,2,Pos Bandung Sumbersari Indah,C_Kantor,1887.7519760898224,1.8877519760898225
20,15,CARINGIN,Pajajaran,26.49659092898333,2,Pos Bandung Sumbersari Indah,C_Kantor,558.2303907969987,0.5582303907969987
20,16,CIBADAK,Pajajaran,36.87058112074416,251,Mall Festival Citylink,B_Mall,1945.40247252198,1.9454024725219798
20,17,CIBADUYUT,Pajajaran,38.805928758489095,28,Kantor Kelurahan Karasak,C_Kantor,1910.8453096793799,1.9108453096793798
20,18,CIBADUYUT KIDUL,Pajajaran,27.125149197516752,223,RSUD Bandung Kiwari,E_RumahSakit,2593.7419048648912,2.593741904864891
20,19,CIBADUYUT WETAN,Pajajaran,25.300462669389656,28,Kantor Kelurahan Karasak,C_Kantor,2587.8769213892288,2.5878769213892285
20,20,CIBUNTU,Pajajaran,52.461290439423934,180,RS Rajawali,E_RumahSakit,1799.7348544105162,1.799734854410516
20,21,CIGONDEWAH KALER,Pajajaran,60.25489943533409,2,Pos Bandung Sumbersari Indah,C_Kantor,1872.3570165822598,1.8723570165822598
20,22,CIGONDEWAH KIDUL,Pajajaran,27.921500044974085,2,Pos Bandung Sumbersari Indah,C_Kantor,2302.747851792566,2.302747851792566
20,23,CIGONDEWAH RAHAYU,Pajajaran,30.92528684548113,2,Pos Bandung Sumbersari Indah,C_Kantor,2424.016064828293,2.424016064828293
20,24,CIJERAH,Pajajaran,69.05070384091948,180,RS Rajawali,E_RumahSakit,1896.31999893685,1.89631999893685
20,25,CIRANGRANG,Pajajaran,34.02127366757954,223,RSUD Bandung Kiwari,E_RumahSakit,2181.6658513952993,2.1816658513952993
20,26,GEMPOL SARI,Pajajaran,62.05773140134205,223,RSUD Bandung Kiwari,E_RumahSakit,6381.987735445899,6.3819877354458985
20,27,JAMIKA,Pajajaran,77.02956531453367,251,Mall Festival Citylink,B_Mall,1180.5224892841877,1.1805224892841877
20,28,KARANG ANYAR,Pajajaran,17.97331486275896,139,Living Plaza,B_Mall,2242.3582622204613,2.242358262220461
20,29,KARASAK,Pajajaran,37.31068814628092,28,Kantor Kelurahan Karasak,C_Kantor,266.85735619635847,0.2668573561963585
20,30,KEBON LEGA,Pajajaran,67.79755119851752,223,RSUD Bandung Kiwari,E_RumahSakit,1412.416615615909,1.412416615615909
20,31,KOPO,Pajajaran,89.37093829506725,223,RSUD Bandung Kiwari,E_RumahSakit,624.8006382486966,0.6248006382486966
20,32,MARGAHAYU UTARA,Pajajaran,66.03565134638737,2,Pos Bandung Sumbersari Indah,C_Kantor,2001.7975227672553,2.001797522767255
20,33,MARGASUKA,Pajajaran,35.34001269845276,223,RSUD Bandung Kiwari,E_RumahSakit,2723.5053870368324,2.723505387036832
20,34,MEKAR WANGI,Pajajaran,31.61582810338067,28,Kantor Kelurahan Karasak,C_Kantor,1487.9080443423616,1.4879080443423616
20,35,NYENGSERET,Pajajaran,33.59028030929006,223,RSUD Bandung Kiwari,E_RumahSakit,2292.0423869521655,2.2920423869521653
20,36,PANJUNAN,Pajajaran,20.649493608103604,223,RSUD Bandung Kiwari,E_RumahSakit,1997.2630643529874,1.9972630643529874
20,37,PELINDUNG HEWAN,Pajajaran,55.53002556989894,28,Kantor Kelurahan Karasak,C_Kantor,1705.6928988549173,1.7056928988549174
20,38,SITUSAEUR,Pajajaran,60.45144680970663,223,RSUD Bandung Kiwari,E_RumahSakit,1265.6807789291277,1.2656807789291276
20,39,SUKA ASIH,Pajajaran,55.71114541045057,251,Mall Festival Citylink,B_Mall,1059.4029287242183,1.0594029287242184
20,40,SUKAHAJI,Pajajaran,89.04641368759094,251,Mall Festival Citylink,B_Mall,484.1443509722165,0.4841443509722165
20,41,WARUNG MUNCANG,Pajajaran,61.321481700938186,2,Pos Bandung Sumbersari Indah,C_Kantor,1349.642687385036,1.349642687385036
20,42,WATES,Soekarno Hatta,21.630474607858524,28,Kantor Kelurahan Karasak,C_Kantor,1864.2715130023228,1.8642715130023229
20,43,MENGGER,Soekarno Hatta,29.88196623434645,28,Kantor Kelurahan Karasak,C_Kantor,3697.466904843787,3.697466904843787
20,44,CIJAURA,Soekarno Hatta,76.70151461826838,132,Pertamina,A_SPBU,906.0868505233242,0.9060868505233242
20,45,SEKEJATI,Soekarno Hatta,67.84204490671267,132,Pertamina,A_SPBU,1663.3772545832146,1.6633772545832146
20,46,KUJANGSARI,Soekarno Hatta,59.61676881953463,132,Pertamina,A_SPBU,1796.181542682148,1.796181542682148
20,47,BATUNUNGGAL,Soekarno Hatta,52.70265912750251,28,Kantor Kelurahan Karasak,C_Kantor,2987.2934352160255,2.9872934352160256
20,48,JATI SARI,Soekarno Hatta,24.457381127692802,74,Kantor Kecamatan Rancasari,C_Kantor,3150.3911086638163,3.1503911086638166
20,49,CISEUREUH,Kawaluyaan,48.84976841684003,28,Kantor Kelurahan Karasak,C_Kantor,715.9714141731621,0.7159714141731621
20,50,KEBON WARU,Kawaluyaan,42.18557449483329,67,Pertamina,A_SPBU,930.0748368341813,0.9300748368341812
20,51,KACAPIRING,Kawaluyaan,26.764218408240602,128,Kantor Kecamatan Lengkong,C_Kantor,2043.7185402699104,2.0437185402699103
20,52,MALEER,Kawaluyaan,50.59513588208743,67,Pertamina,A_SPBU,1147.7877578492858,1.1477877578492857
20,53,SAMOJA,Kawaluyaan,39.243663088029365,128,Kantor Kecamatan Lengkong,C_Kantor,1251.1246342178815,1.2511246342178814
20,54,CIBANGKONG,Kawaluyaan,53.588710123352314,128,Kantor Kecamatan Lengkong,C_Kantor,1587.7074170981357,1.5877074170981358
20,55,CIATEUL,Kawaluyaan,21.380871470087563,128,Kantor Kecamatan Lengkong,C_Kantor,2183.319764904327,2.183319764904327
20,56,PUNGKUR,Kawaluyaan,21.489331370750136,128,Kantor Kecamatan Lengkong,C_Kantor,2356.450868315876,2.3564508683158762
20,57,CIGERELENG,Kawaluyaan,35.081069448517724,28,Kantor Kelurahan Karasak,C_Kantor,1538.8670312185106,1.5388670312185107
20,58,TURANGGA,Kawaluyaan,45.65386543746289,128,Kantor Kecamatan Lengkong,C_Kantor,1826.509972557393,1.826509972557393
20,59,LINGKAR SELATAN,Kawaluyaan,28.991119459911932,128,Kantor Kecamatan Lengkong,C_Kantor,2337.5240004303546,2.3375240004303546
20,60,BALONG GEDE,Kawaluyaan,23.398796463993836,128,Kantor Kecamatan Lengkong,C_Kantor,2117.127087609968,2.117127087609968
20,61,ANCOL,Kawaluyaan,33.47415039396435,28,Kantor Kelurahan Karasak,C_Kantor,2107.507385483662,2.107507385483662
20,62,PASIRLUYU,Kawaluyaan,50.525188461285545,28,Kantor Kelurahan Karasak,C_Kantor,2249.2310045032978,2.2492310045032977
20,63,BURANGRANG,Kawaluyaan,28.036185150285643,128,Kantor Kecamatan Lengkong,C_Kantor,883.771077560222,0.883771077560222
20,64,CIKAWAO,Kawaluyaan,26.04054398825226,128,Kantor Kecamatan Lengkong,C_Kantor,1539.059579977494,1.539059579977494
20,65,GUMURUH,Kawaluyaan,57.30556404707046,128,Kantor Kecamatan Lengkong,C_Kantor,2295.2120901822404,2.2952120901822406
20,66,BINONG,Kawaluyaan,56.23212515327078,67,Pertamina,A_SPBU,2210.611575453858,2.210611575453858
20,67,KEBON GEDANG,Kawaluyaan,28.807770526918066,67,Pertamina,A_SPBU,568.5653907326455,0.5685653907326454
20,68,CIJAGRA,Kawaluyaan,35.06667457355225,128,Kantor Kecamatan Lengkong,C_Kantor,2062.3224221244095,2.0623224221244096
20,69,MALABAR,Kawaluyaan,24.282206861245765,128,Kantor Kecamatan Lengkong,C_Kantor,318.4952743629827,0.3184952743629827
